ID,nombre,plataforma,año_de_lanzamiento,género,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
300,Street Fighter II': Special Champion Edition,GEN,1992.0,Fighting,Sega,1.0,0.3,0.31,0.04
301,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12
302,Super Adventure Island,SNES,1992.0,Platform,Hudson Soft,0.0,0.0,0.22,0.0
303,Super Batter Up,SNES,1992.0,Sports,Namco Bandai Games,0.0,0.0,0.46,0.0
304,Super Bomberman,SNES,1992.0,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0
305,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18
306,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29
307,Syndicate,PC,1992.0,Strategy,Electronic Arts,0.0,0.05,0.0,0.01
308,Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.06,0.0
309,Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992.0,Fighting,Konami Digital Entertainment,0.04,0.01,0.02,0.0
310,Tetris 2 (All region sales),GB,1992.0,Puzzle,Nintendo,0.56,0.22,0.43,0.03
311,Tetris 2 (weekly jp sales),GB,1992.0,Puzzle,Nintendo,0.0,0.0,0.23,0.0
312,The 7th Guest,PC,1992.0,Adventure,Virgin Interactive,0.02,0.77,0.0,0.0
313,The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13
314,The Magical Quest starring Mickey Mouse,SNES,1992.0,Platform,Capcom,0.66,0.17,0.35,0.03
315,Yoshi's Cookie,GB,1992.0,Puzzle,Nintendo,0.59,0.24,0.82,0.03
316,Yoshi's Cookie,GB,1992.0,Puzzle,Nintendo,0.59,0.24,0.82,0.03
317,Yoshi's Cookie,NES,1992.0,Puzzle,Nintendo,0.41,0.06,0.63,0.02
318,Yoshi's Cookie,NES,1992.0,Puzzle,Nintendo,0.41,0.06,0.63,0.02
319,Beyond Oasis,GEN,1993.0,Role-Playing,Sega,0.0,0.0,0.05,0.0
320,Bishoujo Senshi Sailormoon R,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.27,0.0
321,Capcom's Soccer Shootout,SNES,1993.0,Sports,Nintendo,0.0,0.0,0.8,0.0
322,Classic Road,SNES,1993.0,Sports,Victor Interactive,0.0,0.0,0.11,0.0
323,Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993.0,Platform,Namco Bandai Games,0.0,0.0,0.46,0.0
324,Disney's Aladdin,SNES,1993.0,Platform,Capcom,0.94,0.34,0.21,0.27
325,Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993.0,Role-Playing,Epoch,0.0,0.0,0.05,0.0
326,Dragon Ball Z,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.45,0.0
327,Dragon Ball Z: La Legende Saien,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0
328,Dragon Ball Z: Ultime Menace,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0
329,Dragon Quest I & II,SNES,1993.0,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0
330,Dynamite Headdy,GEN,1993.0,Platform,Sega,0.0,0.0,0.05,0.0
331,Ecco: The Tides of Time,GEN,1993.0,Adventure,Sega,0.0,0.0,0.07,0.0
332,Fatal Fury 2,SNES,1993.0,Fighting,Takara,0.0,0.0,0.45,0.0
333,Final Fight 2,SNES,1993.0,Action,Capcom,0.39,0.12,0.49,0.02
334,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993.0,Platform,Konami Digital Entertainment,0.0,0.0,0.31,0.0
335,Harukanaru Augusta 2: Masters,SNES,1993.0,Sports,T&E Soft,0.0,0.0,0.12,0.0
336,Illusion of Gaia,SNES,1993.0,Role-Playing,Nintendo,0.0,0.0,0.13,0.0
337,J-League Soccer: Prime Goal,SNES,1993.0,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0
338,Jissen Pachi-Slot Hisshouhou,SNES,1993.0,Misc,Sammy Corporation,0.0,0.0,0.19,0.0
339,Jurassic Park,NES,1993.0,Action,Ocean,0.25,0.1,0.0,0.01
340,Keiba Eight Special,SNES,1993.0,Sports,Misawa,0.0,0.0,0.05,0.0
341,Kirby's Adventure,NES,1993.0,Platform,Nintendo,0.79,0.14,0.8,0.02
342,Lethal Enforcers,SNES,1993.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.09,0.0
343,Mario & Wario,SNES,1993.0,Puzzle,Nintendo,0.0,0.0,0.49,0.0
344,Mega Man 6,NES,1993.0,Platform,Capcom,0.28,0.07,0.16,0.01
345,Mega Man Soccer,SNES,1993.0,Sports,Capcom,0.04,0.01,0.13,0.0
346,Mega Man X,SNES,1993.0,Platform,Capcom,0.57,0.08,0.5,0.01
347,Mega Man X2,SNES,1993.0,Platform,Laguna,0.09,0.02,0.45,0.0
348,Mortal Kombat II,SNES,1993.0,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06
349,Ninja Warriors,SNES,1993.0,Action,Titus,0.0,0.0,0.07,0.0
350,Nobunaga no Yabou: Haouden,SNES,1993.0,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0
351,Pachinko Wars II,SNES,1993.0,Misc,Coconuts Japan,0.0,0.0,0.05,0.0
352,Pop'n TwinBee: Rainbow Bell Adventure,SNES,1993.0,Platform,Konami Digital Entertainment,0.0,0.0,0.06,0.0
353,Ranma 1/2: Akanekodan Teki Hihou,SNES,1993.0,Role-Playing,TOHO,0.0,0.0,0.11,0.0
354,Rock N' Roll Racing,SNES,1993.0,Racing,Interplay,0.0,0.0,0.01,0.0
355,Romancing SaGa 2,SNES,1993.0,Role-Playing,SquareSoft,0.0,0.0,1.17,0.0
356,Sailor Moon,SNES,1993.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0
357,Samurai Shodown,NG,1993.0,Fighting,SNK,0.0,0.0,0.07,0.0
358,Secret of Mana,SNES,1993.0,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02
359,Shin Momotarou Densetsu,SNES,1993.0,Role-Playing,Hudson Soft,0.0,0.0,0.32,0.0
360,Shining Force II,GEN,1993.0,Strategy,Sega,0.0,0.0,0.19,0.0
361,Sonic CD,SCD,1993.0,Platform,Sega,1.0,0.36,0.09,0.05
362,Star Fox,SNES,1993.0,Shooter,Nintendo,1.61,0.51,0.8,0.07
363,Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993.0,Action,Capcom,0.0,0.0,0.07,0.0
364,Streets of Rage 3,GEN,1993.0,Action,Sega,0.0,0.0,0.07,0.0
365,Stunt Race FX,SNES,1993.0,Racing,Nintendo,0.0,0.0,0.35,0.0
366,Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993.0,Misc,Imax,0.0,0.0,0.06,0.0
367,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29
368,Super Power League,SNES,1993.0,Sports,Hudson Soft,0.0,0.0,0.17,0.0
369,Super Puyo Puyo,SNES,1993.0,Puzzle,Banpresto,0.0,0.0,1.69,0.01
370,Super Street Fighter II,GEN,1993.0,Fighting,Capcom,0.0,0.0,0.15,0.0
371,Super Street Fighter II,SNES,1993.0,Fighting,Nintendo,0.52,0.16,1.29,0.03
372,Tetris 2,NES,1993.0,Puzzle,Nintendo,0.62,0.13,0.21,0.02
373,The King of Fighters '94 (CD),NG,1993.0,Fighting,SNK,0.0,0.0,0.14,0.0
374,Thoroughbred Breeder,SNES,1993.0,Simulation,Hect,0.0,0.0,0.19,0.0
375,Torneko no Daibouken: Fushigi no Dungeon,SNES,1993.0,Role-Playing,ChunSoft,0.0,0.0,0.78,0.0
376,Virtual Soccer,SNES,1993.0,Sports,Hudson Soft,0.0,0.0,0.53,0.0
377,Winning Post,SNES,1993.0,Sports,Tecmo Koei,0.0,0.0,0.53,0.0
378,Yuu Yuu Hakusho,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.36,0.0
379,A. IV Evolution: A Ressha de Ikou 4,PS,1994.0,Strategy,ArtDink,0.0,0.0,0.24,0.02
380,Battle Arena Toshinden,PS,1994.0,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08
381,Battle Arena Toshinden Remix,SAT,1994.0,Fighting,Sega,0.0,0.0,0.12,0.0
382,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994.0,Fighting,Angel Studios,0.0,0.0,0.12,0.0
383,Breath of Fire II,SNES,1994.0,Role-Playing,Laguna,0.0,0.0,0.36,0.0
384,Bust-A-Move,3DO,1994.0,Puzzle,Micro Cabin,0.0,0.0,0.02,0.0
385,Castlevania Bloodlines,GEN,1994.0,Platform,Konami Digital Entertainment,0.0,0.0,0.04,0.0
386,Center Ring Boxing,SAT,1994.0,Fighting,JVC,0.0,0.0,0.12,0.0
387,Clockwork Knight,SAT,1994.0,Platform,Sega,0.0,0.0,0.09,0.0
388,Crime Crackers,PS,1994.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.09,0.01
389,Daikaijyuu Monogatari,SNES,1994.0,Role-Playing,Hudson Soft,0.0,0.0,0.3,0.0
390,Daytona USA,SAT,1994.0,Racing,Sega,0.0,0.0,0.55,0.0
391,Decathlete,SAT,1994.0,Sports,Sega,0.0,0.0,0.3,0.0
392,Derby Jockey: Kishou e no Michi,SNES,1994.0,Sports,Asmik Corp,0.0,0.0,0.07,0.0
393,Derby Stallion II,SNES,1994.0,Sports,ASCII Entertainment,0.0,0.0,0.87,0.0
394,Discworld,PS,1994.0,Adventure,Psygnosis,0.04,0.02,0.0,0.0
395,Disney's The Lion King,GEN,1994.0,Platform,Virgin Interactive,0.97,0.37,0.03,0.05
396,Disney's The Lion King,SNES,1994.0,Platform,Virgin Interactive,1.26,0.39,0.08,0.06
397,Donkey Kong,GB,1994.0,Platform,Nintendo,1.57,0.62,0.55,0.34
398,Donkey Kong,GB,1994.0,Platform,Nintendo,1.57,0.62,0.55,0.34
399,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23
400,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23
401,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23
402,Donkey Kong Land,GB,1994.0,Platform,Nintendo,1.97,0.76,1.07,0.11
403,Doom,PS,1994.0,Shooter,Infogrames,0.43,0.3,0.0,0.05
404,Doom II: Hell on Earth,PC,1994.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16
405,Dragon Slayer: The Legend of Heroes,GEN,1994.0,Role-Playing,Sega,0.0,0.0,0.08,0.0
406,Drift King Shutokou Battle '94,SNES,1994.0,Racing,BPS,0.0,0.0,0.2,0.0
407,ESPN Extreme Games,PS,1994.0,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03
408,EarthBound,SNES,1994.0,Role-Playing,Nintendo,0.0,0.0,0.81,0.0
409,F1 Challenge,SAT,1994.0,Racing,Sega,0.0,0.0,0.18,0.0
410,Fatal Fury Special,SNES,1994.0,Fighting,Takara,0.0,0.0,0.56,0.0
411,Final Fantasy I & II,NES,1994.0,Role-Playing,Square,0.0,0.0,0.11,0.0
412,Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02
413,Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02
414,Final Fantasy III,SNES,1994.0,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02
415,Fire Emblem: Monsh? no Nazo,SNES,1994.0,Role-Playing,Nintendo,0.0,0.0,0.7,0.0
416,First Queen: Ornic Senki,SNES,1994.0,Role-Playing,Culture Brain,0.0,0.0,0.03,0.0
417,Formula One World Championship: Beyond the Limit,SCD,1994.0,Racing,Sega,0.0,0.0,0.07,0.0
418,Gaia Saver Hero Saidai no Sakusen,SNES,1994.0,Role-Playing,Banpresto,0.0,0.0,0.03,0.0
419,Galactic Attack,SAT,1994.0,Shooter,Acclaim Entertainment,0.0,0.0,0.25,0.0
420,Galaxy Fight,SAT,1994.0,Fighting,Sunsoft,0.0,0.0,0.04,0.0
421,Gale Racer,SAT,1994.0,Racing,Sega,0.0,0.0,0.07,0.0
422,Game no Kanzume Vol 1,SCD,1994.0,Misc,Sega,0.0,0.0,0.04,0.0
423,Game no Kanzume Vol 2,SCD,1994.0,Misc,Sega,0.0,0.0,0.05,0.0
424,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994.0,Platform,Konami Digital Entertainment,0.0,0.0,0.36,0.0
425,Gokujou Parodius,SNES,1994.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.18,0.0
426,Golden Axe: The Duel,SAT,1994.0,Fighting,Sega,0.0,0.0,0.05,0.0
427,Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,1994.0,Misc,Vap,0.0,0.0,0.05,0.0
428,International Superstar Soccer,SNES,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.28,0.0
429,Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994.0,Misc,Enix Corporation,0.0,0.0,0.29,0.0
430,J-League Pro Striker 2,GEN,1994.0,Sports,Sega,0.0,0.0,0.04,0.0
431,J-League Soccer: Prime Goal 2,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.53,0.0
432,Jikkyou Powerful Pro Yakuu '94,SNES,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0
433,Jikkyou Powerful Pro Yakyuu '95,PS,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.01
434,Jupiter Strike,PS,1994.0,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01
435,Kamaitachi no Yoru,SNES,1994.0,Adventure,ChunSoft,0.0,0.0,0.81,0.0
436,Kenyuu Densetsu Yaiba,SNES,1994.0,Action,Banpresto,0.0,0.0,0.07,0.0
437,Kidou Senshi V Gundam,SNES,1994.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0
438,Kileak: The DNA Imperative,PS,1994.0,Shooter,Sony Computer Entertainment,0.08,0.06,0.21,0.02
439,King's Field (Japan),PS,1994.0,Role-Playing,From Software,0.0,0.0,0.08,0.01
440,Kirby's Dream Course,SNES,1994.0,Sports,Nintendo,0.0,0.0,0.59,0.0
441,Live A Live,SNES,1994.0,Role-Playing,SquareSoft,0.0,0.0,0.32,0.0
442,"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994.0,Role-Playing,Game Arts,0.0,0.0,0.14,0.0
443,Majin Tensei,SNES,1994.0,Role-Playing,Atlus,0.0,0.0,0.08,0.0
444,Monopoly,PC,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1
445,Monopoly,PC,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1
446,Mortal Kombat,PC,1994.0,Fighting,Acclaim Entertainment,0.02,0.0,0.0,0.0
447,Mortal Kombat,PC,1994.0,Fighting,Acclaim Entertainment,0.02,0.0,0.0,0.0
448,Mortal Kombat,PC,1994.0,Fighting,Acclaim Entertainment,0.02,0.0,0.0,0.0
449,Mortal Kombat 3,GEN,1994.0,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04
450,Mortal Kombat 3,SNES,1994.0,Fighting,Acclaim Entertainment,1.19,0.29,0.0,0.05
451,Mortal Kombat 3,SNES,1994.0,Fighting,Acclaim Entertainment,1.19,0.29,0.0,0.05
452,Mortal Kombat 3,GEN,1994.0,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04
453,Motor Toon Grand Prix (Japan),PS,1994.0,Racing,Sony Computer Entertainment,0.0,0.0,0.06,0.0
454,Myst,PC,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0
455,Myst,SAT,1994.0,Adventure,Sunsoft,0.0,0.0,0.06,0.0
456,NBA Jam,SNES,1994.0,Sports,Acclaim Entertainment,1.19,0.16,0.0,0.03
457,NBA Jam,SNES,1994.0,Sports,Acclaim Entertainment,1.19,0.16,0.0,0.03
458,NBA Jam Tournament Edition,GEN,1994.0,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03
459,NBA Jam Tournament Edition,GEN,1994.0,Sports,Acclaim Entertainment,0.95,0.14,0.0,0.03
460,NHL FaceOff,PS,1994.0,Sports,Sony Computer Entertainment,0.25,0.17,0.0,0.03
461,Parodius,PS,1994.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.31,0.02
462,Pebble Beach Golf Links,SAT,1994.0,Sports,Sega,0.0,0.0,0.02,0.0
463,Primal Rage,PS,1994.0,Fighting,Time Warner Interactive,0.06,0.04,0.0,0.01
464,Puzzle & Action: Tant-R,GEN,1994.0,Misc,Sega,0.0,0.0,0.03,0.0
465,Record of Lodoss War: Eiyuu Sensou,SCD,1994.0,Role-Playing,Sega,0.0,0.0,0.06,0.0
466,Ridge Racer,PS,1994.0,Racing,Sony Computer Entertainment,0.0,0.0,0.74,0.05
467,Robotica,SAT,1994.0,Shooter,Sega,0.0,0.0,0.06,0.0
468,Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994.0,Strategy,Tecmo Koei,0.0,0.0,0.53,0.0
469,SD Gundam GX,SNES,1994.0,Strategy,Namco Bandai Games,0.0,0.0,0.19,0.0
470,Samurai Shodown,SNES,1994.0,Fighting,Takara,0.0,0.0,0.4,0.0
471,Samurai Shodown II,NG,1994.0,Fighting,SNK,0.0,0.0,0.25,0.0
472,Samurai Spirits (CD),NG,1994.0,Fighting,SNK,0.0,0.0,0.2,0.0
473,Saturday Night Slam Masters,SNES,1994.0,Fighting,Capcom,0.0,0.0,0.16,0.0
474,Shin Megami Tensei II,SNES,1994.0,Role-Playing,Atlus,0.0,0.0,0.37,0.0
475,Shining Force CD,SCD,1994.0,Strategy,Sega,0.0,0.0,0.14,0.0
476,SimCity 2000,SAT,1994.0,Simulation,Sega,0.0,0.0,0.28,0.0
477,SimCity 2000,SAT,1994.0,Simulation,Sega,0.0,0.0,0.28,0.0
478,Slam Dunk: Yonkyo Taiketsu!!,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.27,0.0
479,Slayers,SNES,1994.0,Role-Playing,Banpresto,0.0,0.0,0.12,0.0
480,Sonic & Knuckles,GEN,1994.0,Platform,Sega,1.24,0.43,0.03,0.12
481,Sonic the Hedgehog 3,GEN,1994.0,Platform,Sega,1.02,0.47,0.2,0.07
482,Space Invaders,SNES,1994.0,Shooter,Taito,0.0,0.0,0.46,0.0
483,Star Wars: Dark Forces,PC,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09
484,Sugoi Hebereke,SNES,1994.0,Fighting,Sunsoft,0.0,0.0,0.02,0.0
485,Super Bomberman 2,SNES,1994.0,Puzzle,Hudson Soft,0.0,0.0,0.81,0.0
486,Super Bomberman 3,SNES,1994.0,Puzzle,Hudson Soft,0.0,0.0,0.7,0.0
487,Super Famista 3,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.39,0.0
488,Super Fire ProWrestling Special,SNES,1994.0,Fighting,Human Entertainment,0.0,0.0,0.36,0.0
489,Super Formation Soccer 94,SNES,1994.0,Sports,Human Entertainment,0.0,0.0,0.37,0.0
490,Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,2.49,0.98,1.57,0.15
491,Super Metroid,SNES,1994.0,Action,Nintendo,0.57,0.12,0.71,0.02
492,Super Momotarou Dentetsu III,SNES,1994.0,Simulation,Hudson Soft,0.0,0.0,0.91,0.0
493,Super Power League 2,SNES,1994.0,Sports,Hudson Soft,0.0,0.0,0.33,0.0
494,Super Robot Taisen EX,SNES,1994.0,Strategy,Banpresto,0.0,0.0,0.37,0.0
495,The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994.0,Action,Banpresto,0.0,0.0,0.03,0.0
496,The King of Fighters '94,NG,1994.0,Fighting,SNK,0.0,0.0,0.12,0.0
497,The King of Fighters '95 (CD),NG,1994.0,Fighting,SNK,0.0,0.0,0.23,0.0
498,Theme Park,SAT,1994.0,Simulation,Electronic Arts,0.0,0.0,0.08,0.0
499,Theme Park,PS,1994.0,Simulation,Electronic Arts,0.24,0.16,0.13,0.04
500,Thoroughbred Breeder II,SNES,1994.0,Simulation,Hect,0.0,0.0,0.27,0.0
501,ThunderStrike 2,PS,1994.0,Simulation,Core Design Ltd.,0.1,0.07,0.0,0.01
502,Virtua Fighter,SAT,1994.0,Fighting,Sega,0.17,0.12,0.77,0.02
503,Virtua Racing,GEN,1994.0,Racing,Sega,0.0,0.0,0.26,0.0
504,Warcraft: Orcs & Humans,PC,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11
505,Wing Arms,SAT,1994.0,Shooter,Sega,0.0,0.0,0.2,0.0
506,Wonder Project J: Kikai no Shonen Pino,SNES,1994.0,Simulation,Enix Corporation,0.0,0.0,0.43,0.0
507,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994.0,Sports,Misawa,0.0,0.0,0.02,0.0
508,World Series Baseball,SAT,1994.0,Sports,Sega,0.0,0.0,0.04,0.0
509,Worldwide Soccer,SAT,1994.0,Sports,Sega,0.0,0.0,0.06,0.0
510,Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994.0,Fighting,Namco Bandai Games,0.0,0.0,0.31,0.0
511,Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994.0,Fighting,Sega,0.0,0.0,0.08,0.0
512,Zero4 Champ RR,SNES,1994.0,Sports,Media Rings,0.0,0.0,0.36,0.0
513,3D Lemmings,PS,1995.0,Puzzle,Psygnosis,0.03,0.02,0.0,0.0
514,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995.0,Simulation,Pack-In-Video,0.0,0.0,0.06,0.0
515,A-Train,PS,1995.0,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01
516,Agile Warrior F-111X,PS,1995.0,Simulation,Virgin Interactive,0.08,0.05,0.0,0.01
517,Air Combat,PS,1995.0,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05
518,America Oudan Ultra-Quiz,SAT,1995.0,Misc,Victor Interactive,0.0,0.0,0.02,0.0
519,Aquanaut's Holiday,PS,1995.0,Adventure,Sony Computer Entertainment,0.01,0.01,0.0,0.0
520,Arc the Lad,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,1.1,0.01
521,Baku Baku,SAT,1995.0,Puzzle,Sega,0.0,0.0,0.05,0.0
522,Bases Loaded '96: Double Header,PS,1995.0,Sports,Jaleco,0.28,0.19,0.0,0.03
523,Battle Arena Toshinden 2,PS,1995.0,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05
524,Battle Arena Toshinden URA,SAT,1995.0,Fighting,Sega,0.0,0.0,0.03,0.0
525,Beyond The Beyond,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04
526,Blades of Blood: Samurai Shodown III,PS,1995.0,Fighting,Sony Computer Entertainment,0.05,0.03,0.0,0.01
527,Blazing Heroes,SAT,1995.0,Role-Playing,Sega,0.0,0.0,0.3,0.0
528,Block Kuzushi,SNES,1995.0,Puzzle,Pow,0.0,0.0,0.05,0.0
529,Boxer's Road,PS,1995.0,Fighting,New,0.0,0.0,0.33,0.02
530,Bubble Bobble also featuring Rainbow Islands,PS,1995.0,Puzzle,Acclaim Entertainment,0.04,0.02,0.0,0.0
531,Bust-A-Move 2 Arcade Edition,PS,1995.0,Puzzle,Acclaim Entertainment,0.11,0.07,0.0,0.01
532,Captain Tsubasa J: The Way to World Youth,SNES,1995.0,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0
533,Carnage Heart,PS,1995.0,Strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01
534,Castlevania Dracula X,SNES,1995.0,Platform,Konami Digital Entertainment,0.03,0.01,0.05,0.0
535,Chrono Trigger,SNES,1995.0,Role-Playing,SquareSoft,0.28,0.0,2.02,0.01
536,Chrono Trigger,SNES,1995.0,Role-Playing,SquareSoft,0.28,0.0,2.02,0.01
537,Classic Road,PS,1995.0,Sports,Victor Interactive,0.0,0.0,0.07,0.0
538,College Slam,PS,1995.0,Sports,Acclaim Entertainment,0.1,0.07,0.0,0.01
539,Cyber Sled,PS,1995.0,Action,Sony Computer Entertainment,0.0,0.0,0.13,0.01
540,Cyber Troopers Virtual-On,SAT,1995.0,Fighting,Sega,0.0,0.0,0.42,0.0
541,Cyberia,PS,1995.0,Action,Interplay,0.05,0.03,0.0,0.01
542,D,PS,1995.0,Adventure,Acclaim Entertainment,0.0,0.0,0.1,0.01
543,Dai-4-Ji Super Robot Taisen,SNES,1995.0,Strategy,Banpresto,0.0,0.0,0.38,0.0
544,Daibakushou: Jinsei Gekijou,SNES,1995.0,Misc,Taito,0.0,0.0,0.03,0.0
545,Darius Gaiden,SAT,1995.0,Shooter,Acclaim Entertainment,0.0,0.0,0.1,0.0
546,Darius II,SAT,1995.0,Shooter,Taito,0.0,0.0,0.03,0.0
547,Daytona USA Championship Circuit Edition,SAT,1995.0,Racing,Sega,0.0,0.0,0.14,0.0
548,DefCon 5,PS,1995.0,Shooter,Psygnosis,0.04,0.03,0.0,0.0
549,Derby Jockey 2,SNES,1995.0,Sports,Asmik Corp,0.0,0.0,0.1,0.0
550,Derby Stallion III,SNES,1995.0,Sports,ASCII Entertainment,0.0,0.0,1.15,0.0
551,Destruction Derby,PS,1995.0,Racing,Psygnosis,0.5,0.34,0.0,0.06
552,Detana TwinBee Yahho! Deluxe Pack,SAT,1995.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0
553,Detana TwinBee Yahho! Deluxe Pack,PS,1995.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.08,0.01
554,Disruptor,PS,1995.0,Shooter,Interplay,0.07,0.05,0.0,0.01
555,Doki Oki,PS,1995.0,Adventure,Banpresto,0.0,0.0,0.02,0.0
556,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,2.1,0.74,2.2,0.11
557,Doraemon 4: Nobita to Toki no Okoku,SNES,1995.0,Platform,Epoch,0.0,0.0,0.06,0.0
558,Doukyuusei,TG16,1995.0,Adventure,NEC,0.0,0.0,0.14,0.0
559,Dragon Ball Z Hyper Dimension,SNES,1995.0,Fighting,Namco Bandai Games,0.0,0.0,0.21,0.0
560,Dragon Ball Z Super Gokuden: Kakusei-Hen,SNES,1995.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0
561,Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995.0,Fighting,Namco Bandai Games,0.0,0.0,0.15,0.0
562,Dragon Ball Z: Shin Butouden,SAT,1995.0,Fighting,Namco Bandai Games,0.0,0.0,0.09,0.0
563,Dragon Quest VI: Maboroshi no Daichi,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.0,3.19,0.0
564,Epidemic,PS,1995.0,Shooter,Sony Computer Entertainment,0.02,0.01,0.1,0.01
565,Extreme Pinball,PS,1995.0,Misc,Electronic Arts,0.18,0.12,0.0,0.02
566,FIFA Soccer 96,PS,1995.0,Sports,Electronic Arts,0.09,0.06,0.0,0.01
567,Far East of Eden Shinden,NG,1995.0,Fighting,Hudson Soft,0.0,0.0,0.03,0.0
568,Far East of Eden Zero,SNES,1995.0,Role-Playing,Hudson Soft,0.0,0.0,0.3,0.0
569,Fighting Vipers,SAT,1995.0,Fighting,Sega,0.0,0.0,0.4,0.0
570,Final Doom,PS,1995.0,Shooter,GT Interactive,0.15,0.1,0.0,0.02
