ID,nombre,plataforma,ano_de_lanzamiento,genero,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
5244,Seven Samurai 20XX,PS2,2004-01-01,Action,Sega,0.04,0.03,0.0,0.01
5245,Shadow Hearts: Covenant,PS2,2004-01-01,Role-Playing,Midway Games,0.12,0.09,0.0,0.03
5246,Shadow Ops: Red Mercury,XB,2004-01-01,Shooter,Atari,0.11,0.03,0.0,0.01
5247,Shaman King: Power of Spirit,PS2,2004-01-01,Adventure,Konami Digital Entertainment,0.06,0.05,0.0,0.02
5248,Shark Tale,GC,2004-01-01,Action,Activision,0.23,0.06,0.0,0.01
5249,Shark Tale,XB,2004-01-01,Action,Activision,0.15,0.04,0.0,0.01
5250,Shark Tale,GBA,2004-01-01,Action,Activision,0.49,0.18,0.0,0.01
5251,Shark Tale,PS2,2004-01-01,Action,Activision,0.37,0.29,0.0,0.1
5252,Shellshock: Nam '67,XB,2004-01-01,Shooter,Eidos Interactive,0.16,0.05,0.0,0.01
5253,Shin Megami Tensei: Digital Devil Saga,PS2,2004-01-01,Role-Playing,Ghostlight,0.06,0.05,0.0,0.02
5254,Shining Force: Resurrection of the Dark Dragon,GBA,2004-01-01,Role-Playing,THQ,0.06,0.02,0.0,0.0
5255,Shining Tears,PS2,2004-01-01,Role-Playing,Sega,0.05,0.04,0.0,0.01
5256,Shonen Jump's Shaman King: Master of Spirits,GBA,2004-01-01,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0
5257,Showdown: Legends of Wrestling,PS2,2004-01-01,Fighting,Acclaim Entertainment,0.15,0.11,0.0,0.04
5258,Showdown: Legends of Wrestling,XB,2004-01-01,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0
5259,Shrek 2,PS2,2004-01-01,Platform,Activision,1.12,0.69,0.03,0.02
5260,Shrek 2,PS2,2004-01-01,Platform,Activision,1.12,0.69,0.03,0.02
5261,Shrek 2,GC,2004-01-01,Platform,Activision,0.73,0.26,0.01,0.03
5262,Shrek 2,GC,2004-01-01,Platform,Activision,0.73,0.26,0.01,0.03
5263,Shrek 2,XB,2004-01-01,Platform,Activision,0.4,0.13,0.0,0.02
5264,Shrek 2,XB,2004-01-01,Platform,Activision,0.4,0.13,0.0,0.02
5265,Shrek 2: Beg for Mercy,GBA,2004-01-01,Adventure,Activision,0.42,0.15,0.0,0.01
5266,Silent Hill 4: The Room,XB,2004-01-01,Action,Konami Digital Entertainment,0.14,0.04,0.0,0.01
5267,Silent Hill 4: The Room,PS2,2004-01-01,Action,Konami Digital Entertainment,0.25,0.19,0.0,0.06
5268,Silent Scope Complete,XB,2004-01-01,Shooter,Konami Digital Entertainment,0.07,0.02,0.0,0.0
5269,SingStar,PS2,2004-01-01,Misc,Sony Computer Entertainment,0.0,1.37,0.0,0.49
5270,SingStar,PS2,2004-01-01,Misc,Sony Computer Entertainment,0.0,1.37,0.0,0.49
5271,SingStar Party,PS2,2004-01-01,Misc,Sony Computer Entertainment,0.0,1.04,0.0,0.31
5272,Sly 2: Band of Thieves,PS2,2004-01-01,Platform,Sony Computer Entertainment,0.88,0.69,0.0,0.23
5273,Smash Court Tennis Pro Tournament 2,PS2,2004-01-01,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02
5274,Smashing Drive,GBA,2004-01-01,Racing,Zoo Digital Publishing,0.02,0.01,0.0,0.0
5275,Sonic Advance 3,GBA,2004-01-01,Platform,THQ,0.74,0.52,0.08,0.06
5276,Sonic Mega Collection Plus,PS2,2004-01-01,Misc,Sega,1.54,1.14,0.0,0.22
5277,Sonic Mega Collection Plus,PS2,2004-01-01,Misc,Sega,1.54,1.14,0.0,0.22
5278,Sonic Mega Collection Plus,XB,2004-01-01,Misc,Sega,0.61,0.26,0.0,0.04
5279,Sonic Mega Collection Plus,XB,2004-01-01,Misc,Sega,0.61,0.26,0.0,0.04
5280,Spider-Man 2,DS,2004-01-01,Action,Activision,0.41,0.02,0.03,0.04
5281,Spider-Man 2,DS,2004-01-01,Action,Activision,0.41,0.02,0.03,0.04
5282,Spider-Man 2,DS,2004-01-01,Action,Activision,0.41,0.02,0.03,0.04
5283,Spider-Man 2,DS,2004-01-01,Action,Activision,0.41,0.02,0.03,0.04
5284,Spider-Man 2,PS2,2004-01-01,Action,Activision,1.75,1.2,0.02,0.43
5285,Spider-Man 2,PS2,2004-01-01,Action,Activision,1.75,1.2,0.02,0.43
5286,Spider-Man 2,PS2,2004-01-01,Action,Activision,1.75,1.2,0.02,0.43
5287,Spider-Man 2,PS2,2004-01-01,Action,Activision,1.75,1.2,0.02,0.43
5288,Spider-Man 2,XB,2004-01-01,Action,Activision,0.82,0.26,0.0,0.04
5289,Spider-Man 2,GBA,2004-01-01,Action,Activision,0.76,0.28,0.0,0.02
5290,Spider-Man 2,GBA,2004-01-01,Action,Activision,0.76,0.28,0.0,0.02
5291,Spider-Man 2,GBA,2004-01-01,Action,Activision,0.76,0.28,0.0,0.02
5292,Spider-Man 2,XB,2004-01-01,Action,Activision,0.82,0.26,0.0,0.04
5293,Spider-Man 2,XB,2004-01-01,Action,Activision,0.82,0.26,0.0,0.04
5294,Spider-Man 2,XB,2004-01-01,Action,Activision,0.82,0.26,0.0,0.04
5295,Spider-Man 2,GC,2004-01-01,Action,Activision,0.65,0.17,0.0,0.02
5296,Spider-Man 2,GC,2004-01-01,Action,Activision,0.65,0.17,0.0,0.02
5297,Spider-Man 2,GC,2004-01-01,Action,Activision,0.65,0.17,0.0,0.02
5298,Spider-Man 2,GC,2004-01-01,Action,Activision,0.65,0.17,0.0,0.02
5299,Spider-Man 2,GBA,2004-01-01,Action,Activision,0.76,0.28,0.0,0.02
5300,Sprung - A Game Where Everyone Scores,DS,2004-01-01,Adventure,Ubisoft,0.06,0.0,0.0,0.0
5301,Spyro Orange: The Cortex Conspiracy,GBA,2004-01-01,Action,Vivendi Games,0.41,0.15,0.0,0.01
5302,Spyro: A Hero's Tail,GC,2004-01-01,Platform,Vivendi Games,0.22,0.06,0.0,0.01
5303,Spyro: A Hero's Tail,XB,2004-01-01,Platform,Vivendi Games,0.11,0.03,0.0,0.01
5304,Spyro: A Hero's Tail,PS2,2004-01-01,Platform,Vivendi Games,0.32,0.25,0.0,0.08
5305,Star Trek: Shattered Universe,PS2,2004-01-01,Simulation,Global Star,0.05,0.04,0.0,0.01
5306,Star Trek: Shattered Universe,XB,2004-01-01,Simulation,Global Star,0.03,0.01,0.0,0.0
5307,Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004-01-01,Role-Playing,Activision,0.99,0.33,0.0,0.05
5308,Star Wars Trilogy: Apprentice of the Force,GBA,2004-01-01,Action,Ubisoft,0.3,0.11,0.0,0.01
5309,Star Wars: Battlefront,PC,2004-01-01,Shooter,LucasArts,0.07,0.13,0.0,0.02
5310,Star Wars: Battlefront,XB,2004-01-01,Shooter,Activision,1.24,0.45,0.0,0.07
5311,Star Wars: Battlefront,PS2,2004-01-01,Shooter,LucasArts,1.93,1.22,0.03,0.44
5312,Steel Battalion: Line of Contact,XB,2004-01-01,Simulation,Capcom,0.02,0.01,0.0,0.0
5313,Stella Deus: The Gate of Eternity,PS2,2004-01-01,Strategy,505 Games,0.04,0.03,0.0,0.01
5314,Strawberry Shortcake: Summertime Adventure,GBA,2004-01-01,Adventure,Majesco Entertainment,0.47,0.18,0.0,0.01
5315,Street Fighter Anniversary Collection,XB,2004-01-01,Fighting,Capcom,0.11,0.03,0.0,0.01
5316,Street Fighter Anniversary Collection,PS2,2004-01-01,Fighting,Capcom,0.32,0.25,0.0,0.08
5317,Street Jam Basketball,GBA,2004-01-01,Sports,Zoo Digital Publishing,0.02,0.01,0.0,0.0
5318,Strike Force Bowling,PS2,2004-01-01,Sports,Play It,0.3,0.24,0.0,0.08
5319,Strike Force Bowling,XB,2004-01-01,Sports,Crave Entertainment,0.03,0.01,0.0,0.0
5320,Sudeki,XB,2004-01-01,Role-Playing,Microsoft Game Studios,0.14,0.04,0.0,0.01
5321,Suikoden IV,PS2,2004-01-01,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05
5322,Super Collapse! II,GBA,2004-01-01,Puzzle,Majesco Entertainment,0.02,0.01,0.0,0.0
5323,Super Mario 64,DS,2004-01-01,Platform,Nintendo,5.01,3.07,1.25,0.97
5324,Super Robot Taisen MX,PS2,2004-01-01,Strategy,Banpresto,0.0,0.0,0.5,0.0
5325,Syberia II,PC,2004-01-01,Adventure,MC2 Entertainment,0.0,0.01,0.0,0.0
5326,Syberia II,XB,2004-01-01,Adventure,Ubisoft,0.02,0.01,0.0,0.0
5327,Syphon Filter: The Omega Strain,PS2,2004-01-01,Shooter,Sony Computer Entertainment,0.37,0.29,0.0,0.1
5328,TOCA Race Driver 2,XB,2004-01-01,Racing,Codemasters,0.03,0.01,0.0,0.0
5329,TOCA Race Driver 2: Ultimate Racing Simulator,XB,2004-01-01,Racing,Codemasters,0.09,0.03,0.0,0.0
5330,TOCA Race Driver 2: Ultimate Racing Simulator,PS2,2004-01-01,Racing,Codemasters,0.03,0.02,0.0,0.01
5331,Taiko Drum Master,PS2,2004-01-01,Misc,Namco Bandai Games,0.1,0.08,0.0,0.03
5332,Taiko no Tatsujin: Go! Go! Godaime,PS2,2004-01-01,Misc,Namco Bandai Games,0.0,0.0,0.2,0.0
5333,Tak 2: The Staff of Dreams,GBA,2004-01-01,Platform,THQ,0.33,0.12,0.0,0.01
5334,Tak 2: The Staff of Dreams,GC,2004-01-01,Platform,THQ,0.26,0.07,0.0,0.01
5335,Tak 2: The Staff of Dreams,XB,2004-01-01,Platform,THQ,0.1,0.03,0.0,0.0
5336,Tak 2: The Staff of Dreams,PS2,2004-01-01,Platform,THQ,0.3,0.24,0.0,0.08
5337,Tales of Rebirth,PS2,2004-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.59,0.0
5338,Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004-01-01,Action,Konami Digital Entertainment,0.15,0.04,0.0,0.01
5339,Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004-01-01,Action,Konami Digital Entertainment,0.22,0.17,0.0,0.06
5340,Teenage Mutant Ninja Turtles 2: Battle Nexus,XB,2004-01-01,Action,Konami Digital Entertainment,0.1,0.03,0.0,0.0
5341,Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004-01-01,Action,Konami Digital Entertainment,0.23,0.09,0.0,0.01
5342,Ten Pin Alley 2,GBA,2004-01-01,Sports,XS Games,0.01,0.0,0.0,0.0
5343,Tenchu: Fatal Shadows,PS2,2004-01-01,Action,Sega,0.09,0.07,0.0,0.02
5344,Tenchu: Return From Darkness,XB,2004-01-01,Action,Activision,0.16,0.05,0.0,0.01
5345,Tennis no Oji-Sama: 2005 Crystal Drive,DS,2004-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.05,0.0
5346,Terminator 3: The Redemption,PS2,2004-01-01,Shooter,Atari,0.08,0.06,0.0,0.02
5347,Terminator 3: The Redemption,GC,2004-01-01,Shooter,Atari,0.02,0.0,0.0,0.0
5348,Terminator 3: The Redemption,XB,2004-01-01,Shooter,Atari,0.05,0.01,0.0,0.0
5349,Test Drive: Eve of Destruction,XB,2004-01-01,Racing,Atari,0.07,0.02,0.0,0.0
5350,Test Drive: Eve of Destruction,PS2,2004-01-01,Racing,Atari,0.11,0.09,0.0,0.03
5351,Texas Hold 'Em Poker,GBA,2004-01-01,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01
5352,That's So Raven,GBA,2004-01-01,Adventure,Disney Interactive Studios,0.54,0.2,0.0,0.01
5353,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004-01-01,Action,THQ,0.22,0.06,0.0,0.01
5354,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004-01-01,Action,THQ,0.24,0.19,0.0,0.06
5355,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004-01-01,Action,THQ,0.36,0.13,0.0,0.01
5356,The Bard's Tale,XB,2004-01-01,Role-Playing,Ubisoft,0.08,0.02,0.0,0.0
5357,The Bard's Tale,PS2,2004-01-01,Role-Playing,Ubisoft,0.1,0.08,0.0,0.03
5358,The Dukes of Hazzard: Return of the General Lee,XB,2004-01-01,Racing,Ubisoft,0.06,0.02,0.0,0.0
5359,The Dukes of Hazzard: Return of the General Lee,PS2,2004-01-01,Racing,Ubisoft,0.11,0.08,0.0,0.03
5360,The Fairly Odd Parents: Shadow Showdown,GBA,2004-01-01,Platform,THQ,0.25,0.09,0.0,0.01
5361,The Fairly Odd Parents: Shadow Showdown,PS2,2004-01-01,Platform,THQ,0.17,0.13,0.0,0.04
5362,The Fairly Odd Parents: Shadow Showdown,GC,2004-01-01,Platform,THQ,0.16,0.04,0.0,0.01
5363,The Getaway: Black Monday,PS2,2004-01-01,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36
5364,The Guy Game,XB,2004-01-01,Misc,Gathering of Developers,0.05,0.02,0.0,0.0
5365,The Guy Game,PS2,2004-01-01,Misc,Gathering of Developers,0.07,0.05,0.0,0.02
5366,The Incredibles,GBA,2004-01-01,Action,THQ,1.15,0.77,0.04,0.1
5367,The Incredibles,GBA,2004-01-01,Action,THQ,1.15,0.77,0.04,0.1
5368,The Incredibles,GBA,2004-01-01,Action,THQ,1.15,0.77,0.04,0.1
5369,The Incredibles,PS2,2004-01-01,Action,THQ,0.96,1.08,0.04,0.3
5370,The Incredibles,PS2,2004-01-01,Action,THQ,0.96,1.08,0.04,0.3
5371,The Incredibles,PS2,2004-01-01,Action,THQ,0.96,1.08,0.04,0.3
5372,The Incredibles,GC,2004-01-01,Action,THQ,0.65,0.17,0.0,0.02
5373,The Incredibles,GC,2004-01-01,Action,THQ,0.65,0.17,0.0,0.02
5374,The Incredibles,GC,2004-01-01,Action,THQ,0.65,0.17,0.0,0.02
5375,The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004-01-01,Role-Playing,Namco Bandai Games,0.03,0.0,0.11,0.0
5376,The Legend of Zelda: Four Swords Adventures,GC,2004-01-01,Action,Nintendo,0.63,0.16,0.0,0.02
5377,The Legend of Zelda: The Minish Cap,GBA,2004-01-01,Action,Nintendo,0.89,0.22,0.22,0.1
5378,The Lord of the Rings: The Battle for Middle-Earth,PC,2004-01-01,Strategy,Electronic Arts,0.01,0.06,0.0,0.01
5379,The Lord of the Rings: The Third Age,GBA,2004-01-01,Role-Playing,Electronic Arts,0.16,0.06,0.0,0.0
5380,The Lord of the Rings: The Third Age,GC,2004-01-01,Role-Playing,Electronic Arts,0.22,0.06,0.0,0.01
5381,The Lord of the Rings: The Third Age,PS2,2004-01-01,Role-Playing,Electronic Arts,0.49,0.02,0.0,0.08
5382,The Nightmare of Druaga: Fushigino Dungeon,PS2,2004-01-01,Role-Playing,Arika,0.03,0.02,0.0,0.01
5383,The Polar Express,PS2,2004-01-01,Adventure,THQ,0.11,0.09,0.0,0.03
5384,The Polar Express,GBA,2004-01-01,Adventure,THQ,0.14,0.05,0.0,0.0
5385,The Polar Express,GC,2004-01-01,Adventure,THQ,0.08,0.02,0.0,0.0
5386,The Sims 2,PC,2004-01-01,Simulation,Electronic Arts,0.02,0.24,0.0,0.04
5387,The Sims 2,PC,2004-01-01,Simulation,Electronic Arts,0.02,0.24,0.0,0.04
5388,The Sims 2,PC,2004-01-01,Simulation,Electronic Arts,0.02,0.24,0.0,0.04
5389,The SpongeBob SquarePants Movie,PS2,2004-01-01,Platform,THQ,1.06,0.54,0.0,0.16
5390,The SpongeBob SquarePants Movie,PS2,2004-01-01,Platform,THQ,1.06,0.54,0.0,0.16
5391,The SpongeBob SquarePants Movie,PS2,2004-01-01,Platform,THQ,1.06,0.54,0.0,0.16
5392,The SpongeBob SquarePants Movie,GC,2004-01-01,Platform,THQ,0.73,0.19,0.0,0.03
5393,The SpongeBob SquarePants Movie,GC,2004-01-01,Platform,THQ,0.73,0.19,0.0,0.03
5394,The SpongeBob SquarePants Movie,GC,2004-01-01,Platform,THQ,0.73,0.19,0.0,0.03
5395,The SpongeBob SquarePants Movie,GBA,2004-01-01,Platform,THQ,1.02,0.38,0.0,0.06
5396,The SpongeBob SquarePants Movie,GBA,2004-01-01,Platform,THQ,1.02,0.38,0.0,0.06
5397,The SpongeBob SquarePants Movie,GBA,2004-01-01,Platform,THQ,1.02,0.38,0.0,0.06
5398,The SpongeBob SquarePants Movie,XB,2004-01-01,Platform,THQ,0.4,0.12,0.0,0.02
5399,The SpongeBob SquarePants Movie,XB,2004-01-01,Platform,THQ,0.4,0.12,0.0,0.02
5400,The SpongeBob SquarePants Movie,XB,2004-01-01,Platform,THQ,0.4,0.12,0.0,0.02
5401,The Suffering,PS2,2004-01-01,Action,Midway Games,0.2,0.16,0.0,0.05
5402,The Suffering,XB,2004-01-01,Action,Midway Games,0.16,0.05,0.0,0.01
5403,The Urbz: Sims In the City (US weekly sales),DS,2004-01-01,Simulation,Electronic Arts,0.26,0.0,0.0,0.02
5404,The Urbz: Sims in the City,GC,2004-01-01,Simulation,Electronic Arts,0.24,0.14,0.0,0.02
5405,The Urbz: Sims in the City,XB,2004-01-01,Simulation,Electronic Arts,0.22,0.11,0.0,0.01
5406,The Urbz: Sims in the City,PS2,2004-01-01,Simulation,Electronic Arts,0.52,0.95,0.0,0.29
5407,The Urbz: Sims in the City,GBA,2004-01-01,Simulation,Electronic Arts,0.37,0.22,0.0,0.03
5408,The Urbz: Sims in the City (all regions sales),DS,2004-01-01,Simulation,Electronic Arts,0.4,0.01,0.02,0.0
5409,The X Files: Resist or Serve,PS2,2004-01-01,Adventure,Vivendi Games,0.06,0.05,0.0,0.02
5410,Thief: Deadly Shadows,XB,2004-01-01,Action,Eidos Interactive,0.13,0.04,0.0,0.01
5411,Thunder Alley,GBA,2004-01-01,Racing,XS Games,0.01,0.0,0.0,0.0
5412,Thunderbirds,GBA,2004-01-01,Shooter,Vivendi Games,0.02,0.01,0.0,0.0
5413,Tiger Woods PGA Tour,DS,2004-01-01,Sports,Electronic Arts,0.13,0.0,0.0,0.01
5414,Tiger Woods PGA Tour 2005,GC,2004-01-01,Sports,Electronic Arts,0.1,0.03,0.0,0.0
5415,Tiger Woods PGA Tour 2005,GC,2004-01-01,Sports,Electronic Arts,0.1,0.03,0.0,0.0
5416,Tiger Woods PGA Tour 2005,PS2,2004-01-01,Sports,Electronic Arts,1.03,0.32,0.0,0.09
5417,Tiger Woods PGA Tour 2005,PS2,2004-01-01,Sports,Electronic Arts,1.03,0.32,0.0,0.09
5418,Tiger Woods PGA Tour 2005,XB,2004-01-01,Sports,Electronic Arts,0.64,0.18,0.0,0.03
5419,Tiger Woods PGA Tour 2005,XB,2004-01-01,Sports,Electronic Arts,0.64,0.18,0.0,0.03
5420,Tiger Woods PGA Tour 2005,PC,2004-01-01,Sports,Electronic Arts,0.0,0.01,0.0,0.0
5421,Tiger Woods PGA Tour 2005,PC,2004-01-01,Sports,Electronic Arts,0.0,0.01,0.0,0.0
5422,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004-01-01,Adventure,Disney Interactive Studios,0.17,0.13,0.0,0.04
5423,Time Crisis: Crisis Zone,PS2,2004-01-01,Shooter,Namco Bandai Games,0.11,0.09,0.0,0.03
5424,Tom Clancy's Classic Trilogy,XB,2004-01-01,Shooter,Ubisoft,0.07,0.02,0.0,0.0
5425,Tom Clancy's Ghost Recon 2,PS2,2004-01-01,Shooter,Ubisoft,0.64,0.34,0.0,0.1
5426,Tom Clancy's Ghost Recon 2,PS2,2004-01-01,Shooter,Ubisoft,0.64,0.34,0.0,0.1
5427,Tom Clancy's Ghost Recon 2,XB,2004-01-01,Shooter,Ubisoft,0.86,0.45,0.0,0.06
5428,Tom Clancy's Ghost Recon 2,XB,2004-01-01,Shooter,Ubisoft,0.86,0.45,0.0,0.06
5429,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004-01-01,Shooter,Ubisoft,0.57,0.44,0.0,0.15
5430,Tom Clancy's Rainbow Six 3,GC,2004-01-01,Shooter,Ubisoft,0.04,0.01,0.0,0.0
5431,Tom Clancy's Rainbow Six 3,PS2,2004-01-01,Shooter,Ubisoft,0.4,0.31,0.0,0.1
5432,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004-01-01,Shooter,Ubisoft,0.99,0.12,0.0,0.02
5433,Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,2004-01-01,Action,Ubisoft,0.06,0.02,0.0,0.0
5434,Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,2004-01-01,Action,Ubisoft,0.06,0.02,0.0,0.0
5435,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004-01-01,Action,Ubisoft,0.52,0.56,0.0,0.17
5436,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004-01-01,Action,Ubisoft,0.52,0.56,0.0,0.17
5437,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004-01-01,Action,Ubisoft,0.82,0.59,0.0,0.07
5438,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004-01-01,Action,Ubisoft,0.82,0.59,0.0,0.07
5439,Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004-01-01,Action,Ubisoft,0.05,0.02,0.0,0.0
5440,Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004-01-01,Action,Ubisoft,0.05,0.02,0.0,0.0
5441,Tony Hawk's Underground 2,GBA,2004-01-01,Sports,Activision,0.35,0.13,0.0,0.01
5442,Tony Hawk's Underground 2,GC,2004-01-01,Sports,Activision,0.38,0.1,0.0,0.01
5443,Tony Hawk's Underground 2,XB,2004-01-01,Sports,Activision,0.48,0.24,0.0,0.03
5444,Tony Hawk's Underground 2,PS2,2004-01-01,Sports,Activision,1.25,0.86,0.01,0.26
5445,Top Gun: Combat Zones,GBA,2004-01-01,Simulation,Mastiff,0.07,0.03,0.0,0.0
5446,Transformers,PS2,2004-01-01,Shooter,Atari,0.63,0.49,0.0,0.16
5447,Trigger Man,PS2,2004-01-01,Shooter,Play It,0.08,0.06,0.0,0.02
5448,Trigger Man,GC,2004-01-01,Shooter,Crave Entertainment,0.01,0.0,0.0,0.0
5449,Trigger Man,XB,2004-01-01,Shooter,Crave Entertainment,0.03,0.01,0.0,0.0
5450,Trivial Pursuit unhinged,PS2,2004-01-01,Misc,Atari,0.09,0.07,0.0,0.02
5451,Trivial Pursuit unhinged,XB,2004-01-01,Misc,Atari,0.07,0.02,0.0,0.0
5452,Tron 2.0: Killer App,XB,2004-01-01,Action,Disney Interactive Studios,0.04,0.01,0.0,0.0
5453,Tron 2.0: Killer App,GBA,2004-01-01,Action,Disney Interactive Studios,0.04,0.02,0.0,0.0
5454,Ty the Tasmanian Tiger 2: Bush Rescue,XB,2004-01-01,Platform,Electronic Arts,0.08,0.02,0.0,0.0
5455,Ty the Tasmanian Tiger 2: Bush Rescue,GBA,2004-01-01,Platform,Electronic Arts,0.09,0.03,0.0,0.0
5456,Ty the Tasmanian Tiger 2: Bush Rescue,GC,2004-01-01,Platform,Electronic Arts,0.15,0.04,0.0,0.01
5457,Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004-01-01,Platform,Electronic Arts,0.26,0.2,0.0,0.07
5458,UEFA Euro 2004: Portugal,PS2,2004-01-01,Sports,Electronic Arts,0.07,0.05,0.0,0.02
5459,UEFA Euro 2004: Portugal,XB,2004-01-01,Sports,Electronic Arts,0.04,0.01,0.0,0.0
5460,UFC: Sudden Impact,PS2,2004-01-01,Fighting,Global Star,0.09,0.07,0.0,0.02
5461,Ultimate Block Party,PSP,2004-01-01,Puzzle,505 Games,0.03,0.0,0.0,0.0
5462,Ultra Bust-A-Move,XB,2004-01-01,Puzzle,505 Games,0.04,0.01,0.0,0.0
5463,Ultraman Fighting Evolution 3,PS2,2004-01-01,Fighting,Banpresto,0.0,0.0,0.01,0.0
5464,Under the Skin,PS2,2004-01-01,Action,Capcom,0.01,0.01,0.0,0.0
5465,Unreal II: The Awakening,XB,2004-01-01,Shooter,Atari,0.17,0.04,0.0,0.01
5466,Unreal Tournament 2004,PC,2004-01-01,Shooter,Atari,0.0,0.01,0.0,0.0
5467,Van Helsing,GBA,2004-01-01,Action,Activision,0.07,0.03,0.0,0.0
5468,Van Helsing,PS2,2004-01-01,Action,Activision,0.22,0.17,0.0,0.06
5469,Vietcong: Purple Haze,PS2,2004-01-01,Shooter,Gathering of Developers,0.09,0.07,0.0,0.02
5470,Vietcong: Purple Haze,XB,2004-01-01,Shooter,Gathering of Developers,0.06,0.02,0.0,0.0
5471,Viewtiful Joe,PS2,2004-01-01,Action,Capcom,0.14,0.11,0.0,0.04
5472,Viewtiful Joe 2,GC,2004-01-01,Action,Capcom,0.17,0.04,0.0,0.01
5473,Viewtiful Joe 2,PS2,2004-01-01,Action,Capcom,0.1,0.08,0.0,0.03
5474,WWE Day of Reckoning,GC,2004-01-01,Fighting,THQ,0.35,0.09,0.0,0.01
5475,WWE Survivor Series,GBA,2004-01-01,Fighting,THQ,0.09,0.04,0.0,0.0
5476,Wade Hixton's Counter Punch,GBA,2004-01-01,Sports,"Destination Software, Inc",0.01,0.0,0.0,0.0
5477,"Warhammer 40,000: Dawn of War",PC,2004-01-01,Strategy,THQ,0.01,0.03,0.0,0.01
5478,WarioWare Touched!,DS,2004-01-01,Puzzle,Nintendo,0.51,0.45,1.21,0.13
5479,Wings of War,XB,2004-01-01,Simulation,Take-Two Interactive,0.05,0.01,0.0,0.0
5480,World Championship Poker,GBA,2004-01-01,Misc,Crave Entertainment,0.12,0.05,0.0,0.0
5481,World Championship Poker,PS2,2004-01-01,Misc,Play It,0.8,0.03,0.0,0.13
5482,World Championship Poker,XB,2004-01-01,Misc,Crave Entertainment,0.37,0.11,0.0,0.02
5483,World Championship Pool 2004,PS2,2004-01-01,Sports,Jaleco,0.02,0.02,0.0,0.01
5484,World Championship Rugby,PS2,2004-01-01,Sports,Acclaim Entertainment,0.06,0.04,0.0,0.01
5485,World Soccer Winning Eleven 7 International (JP version),PS2,2004-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.54,0.0
5486,World Soccer Winning Eleven 8 International,XB,2004-01-01,Sports,Konami Digital Entertainment,0.07,0.02,0.0,0.0
5487,World Soccer Winning Eleven 8 International,PS2,2004-01-01,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68
5488,World Tour Soccer 2005,PS2,2004-01-01,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02
5489,World Tour Soccer 2006,PS2,2004-01-01,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02
5490,World of Warcraft,PC,2004-01-01,Role-Playing,Activision,0.08,6.21,0.0,0.0
5491,Worldwide Soccer Manager 2006,PC,2004-01-01,Sports,Sega,0.0,0.01,0.0,0.0
5492,Worms Forts: Under Siege,PS2,2004-01-01,Strategy,Acclaim Entertainment,0.05,0.04,0.0,0.01
5493,Worms Forts: Under Siege,XB,2004-01-01,Strategy,Sega,0.05,0.01,0.0,0.0
5494,Wrath Unleashed,PS2,2004-01-01,Strategy,LucasArts,0.04,0.03,0.0,0.01
5495,Wrath Unleashed,XB,2004-01-01,Strategy,LucasArts,0.03,0.01,0.0,0.0
5496,X-Men Legends,PS2,2004-01-01,Role-Playing,Activision,1.0,0.72,0.0,0.21
5497,X-Men Legends,PS2,2004-01-01,Role-Playing,Activision,1.0,0.72,0.0,0.21
5498,X-Men Legends,XB,2004-01-01,Role-Playing,Activision,0.62,0.24,0.0,0.04
5499,X-Men Legends,XB,2004-01-01,Role-Playing,Activision,0.62,0.24,0.0,0.04
